"symbol","stock_code","component_name","sw_level1_name","attention_rank_score","comment_score","focus_score","attention_bucket","attention_catalyst_flag","eastmoney_hot_rank","eastmoney_up_rank","xueqiu_follow_rank","xueqiu_tweet_rank","xueqiu_deal_rank","data_status"
"000012.SZ","000012","南  玻A","未映射",,,,"缺失","False",,,,,,"missing"
"000028.SZ","000028","国药一致","医药生物",,,,"缺失","False",,,,,,"missing"
"000029.SZ","000029","深深房A","未映射",,,,"缺失","False",,,,,,"missing"
"000030.SZ","000030","富奥股份","汽车",,,,"缺失","False",,,,,,"missing"
"000035.SZ","000035","中国天楹","环保",,,,"缺失","False",,,,,,"missing"
"000048.SZ","000048","京基智农","农林牧渔",,,,"缺失","False",,,,,,"missing"
"000049.SZ","000049","德赛电池","电力设备",,,,"缺失","False",,,,,,"missing"
"000058.SZ","000058","深赛格","商贸零售",,,,"缺失","False",,,,,,"missing"
"000059.SZ","000059","华锦股份","石油石化",,,,"缺失","False",,,,,,"missing"
"000061.SZ","000061","农 产 品","商贸零售",,,,"缺失","False",,,,,,"missing"
"000065.SZ","000065","北方国际","建筑装饰",,,,"缺失","False",,,,,,"missing"
"000089.SZ","000089","深圳机场","交通运输",,,,"缺失","False",,,,,,"missing"
"000099.SZ","000099","中信海直","交通运输",,,,"缺失","False",,,,,,"missing"
"000156.SZ","000156","华数传媒","传媒",,,,"缺失","False",,,,,,"missing"
"000403.SZ","000403","派林生物","医药生物",,,,"缺失","False",,,,,,"missing"
"000420.SZ","000420","吉林化纤","基础化工",,,,"缺失","False",,,,,,"missing"
"000422.SZ","000422","湖北宜化","基础化工",,,,"缺失","False",,,,,,"missing"
"000498.SZ","000498","山东路桥","建筑装饰",,,,"缺失","False",,,,,,"missing"
"000503.SZ","000503","国新健康","计算机",,,,"缺失","False",,,,,,"missing"
"000506.SZ","000506","招金黄金","有色金属",,,,"缺失","False",,,,,,"missing"
"000534.SZ","000534","万泽股份","医药生物",,,,"缺失","False",,,,,,"missing"
"000543.SZ","000543","皖能电力","公用事业",,,,"缺失","False",,,,,,"missing"
"000550.SZ","000550","江铃汽车","汽车",,,,"缺失","False",,,,,,"missing"
"000552.SZ","000552","甘肃能化","煤炭",,,,"缺失","False",,,,,,"missing"
"000555.SZ","000555","神州信息","计算机",,,,"缺失","False",,,,,,"missing"
"000563.SZ","000563","陕国投A","未映射",,,,"缺失","False",,,,,,"missing"
"000567.SZ","000567","海德股份","非银金融",,,,"缺失","False",,,,,,"missing"
"000581.SZ","000581","威孚高科","汽车",,,,"缺失","False",,,,,,"missing"
"000600.SZ","000600","建投能源","公用事业",,,,"缺失","False",,,,,,"missing"
"000603.SZ","000603","盛达资源","有色金属",,,,"缺失","False",,,,,,"missing"
"000612.SZ","000612","焦作万方","有色金属",,,,"缺失","False",,,,,,"missing"
"000620.SZ","000620","盈新发展","房地产",,,,"缺失","False",,,,,,"missing"
"000628.SZ","000628","高新发展","建筑装饰",,,,"缺失","False",,,,,,"missing"
"000636.SZ","000636","风华高科","电子","0.333333333333333",,,"中","False","24",,"79","56",,"ok"
"000650.SZ","000650","仁和药业","医药生物",,,,"缺失","False",,,,,,"missing"
"000672.SZ","000672","上峰材料","未映射",,,,"缺失","False",,,,,,"missing"
"000676.SZ","000676","智度股份","传媒",,,,"缺失","False",,,,,,"missing"
"000680.SZ","000680","山推股份","机械设备",,,,"缺失","False",,,,,,"missing"
"000681.SZ","000681","视觉中国","传媒",,,,"缺失","False",,,,,,"missing"
"000682.SZ","000682","东方电子","电力设备",,,,"缺失","False",,,,,,"missing"
"000685.SZ","000685","中山公用","环保",,,,"缺失","False",,,,,,"missing"
"000686.SZ","000686","东北证券","非银金融",,,,"缺失","False",,,,,,"missing"
"000688.SZ","000688","国城矿业","有色金属",,,,"缺失","False",,,,,,"missing"
"000690.SZ","000690","宝新能源","公用事业",,,,"缺失","False",,,,,,"missing"
"000712.SZ","000712","锦龙股份","非银金融",,,,"缺失","False",,,,,,"missing"
"000719.SZ","000719","中原传媒","传媒",,,,"缺失","False",,,,,,"missing"
"000727.SZ","000727","冠捷科技","电子",,,,"缺失","False",,,,,,"missing"
"000758.SZ","000758","中色股份","有色金属","0",,,"低","False",,,,,"99","ok"
"000762.SZ","000762","西藏矿业","有色金属",,,,"缺失","False",,,,,,"missing"
"000766.SZ","000766","通化金马","医药生物",,,,"缺失","False",,,,,,"missing"
"000767.SZ","000767","晋控电力","公用事业",,,,"缺失","False",,,,,,"missing"
"000778.SZ","000778","新兴铸管","钢铁",,,,"缺失","False",,,,,,"missing"
"000791.SZ","000791","甘肃能源","公用事业",,,,"缺失","False",,,,,,"missing"
"000795.SZ","000795","英洛华","有色金属",,,,"缺失","False",,,,,,"missing"
"000801.SZ","000801","四川九洲","家用电器",,,,"缺失","False",,,,,,"missing"
"000810.SZ","000810","创维数字","家用电器",,,,"缺失","False",,,,,,"missing"
"000811.SZ","000811","冰轮环境","机械设备",,,,"缺失","False",,,,,,"missing"
"000813.SZ","000813","德展健康","医药生物",,,,"缺失","False",,,,,,"missing"
"000828.SZ","000828","东莞控股","交通运输",,,,"缺失","False",,,,,,"missing"
"000829.SZ","000829","天音控股","商贸零售",,,,"缺失","False",,,,,,"missing"
"000833.SZ","000833","粤桂股份","综合",,,,"缺失","False",,,,,,"missing"
"000837.SZ","000837","秦川机床","机械设备",,,,"缺失","False",,,,,,"missing"
"000848.SZ","000848","承德露露","食品饮料",,,,"缺失","False",,,,,,"missing"
"000860.SZ","000860","顺鑫农业","食品饮料",,,,"缺失","False",,,,,,"missing"
"000875.SZ","000875","电投绿能","公用事业",,,,"缺失","False",,,,,,"missing"
"000880.SZ","000880","潍柴重机","汽车",,,,"缺失","False",,,,,,"missing"
"000885.SZ","000885","城发环境","环保",,,,"缺失","False",,,,,,"missing"
"000899.SZ","000899","赣能股份","公用事业",,,,"缺失","False",,,,,,"missing"
"000901.SZ","000901","航天科技","汽车",,,,"缺失","False",,,,,,"missing"
"000902.SZ","000902","新洋丰","基础化工",,,,"缺失","False",,,,,,"missing"
"000913.SZ","000913","钱江摩托","汽车",,,,"缺失","False",,,,,,"missing"
"000917.SZ","000917","电广传媒","传媒",,,,"缺失","False",,,,,,"missing"
"000923.SZ","000923","河钢资源","钢铁",,,,"缺失","False",,,,,,"missing"
"000927.SZ","000927","中国铁物","机械设备",,,,"缺失","False",,,,,,"missing"
"000928.SZ","000928","中钢国际","建筑装饰",,,,"缺失","False",,,,,,"missing"
"000930.SZ","000930","中粮科技","农林牧渔",,,,"缺失","False",,,,,,"missing"
"000935.SZ","000935","四川双马","非银金融","0",,,"低","False",,"260",,,,"ok"
"000950.SZ","000950","重药控股","医药生物",,,,"缺失","False",,,,,,"missing"
"000962.SZ","000962","东方钽业","有色金属",,,,"缺失","False",,,,,,"missing"
"000966.SZ","000966","长源电力","公用事业",,,,"缺失","False",,,,,,"missing"
"000969.SZ","000969","安泰科技","有色金属",,,,"缺失","False",,,,,,"missing"
"000970.SZ","000970","中科三环","有色金属",,,,"缺失","False",,,,,,"missing"
"000973.SZ","000973","佛塑科技","基础化工",,,,"缺失","False",,,,,,"missing"
"000990.SZ","000990","诚志股份","基础化工",,,,"缺失","False",,,,,,"missing"
"000998.SZ","000998","隆平高科","农林牧渔",,,,"缺失","False",,,,,,"missing"
"001227.SZ","001227","兰州银行","银行",,,,"缺失","False",,,,,,"missing"
"001233.SZ","001233","海安集团","汽车",,,,"缺失","False",,,,,,"missing"
"001236.SZ","001236","弘业期货","非银金融",,,,"缺失","False",,,,,,"missing"
"001267.SZ","001267","汇绿生态","建筑装饰",,,,"缺失","False",,,,,,"missing"
"001287.SZ","001287","中电港","电子",,,,"缺失","False",,,,,,"missing"
"001301.SZ","001301","尚太科技","电力设备",,,,"缺失","False",,,,,,"missing"
"001337.SZ","001337","四川黄金","有色金属",,,,"缺失","False",,,,,,"missing"
"001339.SZ","001339","智微智能","计算机",,,,"缺失","False",,,,,,"missing"
"001359.SZ","001359","平安电工","基础化工",,,,"缺失","False",,,,,,"missing"
"001369.SZ","001369","双欣材料","基础化工",,,,"缺失","False",,,,,,"missing"
"001382.SZ","001382","新亚电缆","电力设备",,,,"缺失","False",,,,,,"missing"
"001896.SZ","001896","豫能控股","公用事业","0",,,"低","False","76",,,,,"ok"
"001914.SZ","001914","招商积余","房地产",,,,"缺失","False",,,,,,"missing"
"002003.SZ","002003","伟星股份","纺织服饰",,,,"缺失","False",,,,,,"missing"
"002004.SZ","002004","华邦健康","医药生物",,,,"缺失","False",,,,,,"missing"
"002006.SZ","002006","精工科技","机械设备",,,,"缺失","False",,,,,,"missing"
"002010.SZ","002010","传化智联","交通运输",,,,"缺失","False",,,,,,"missing"
"002011.SZ","002011","盾安环境","家用电器",,,,"缺失","False",,,,,,"missing"
"002015.SZ","002015","协鑫能科","公用事业",,,,"缺失","False",,,,,,"missing"
"002017.SZ","002017","东信和平","通信",,,,"缺失","False",,,,,,"missing"
"002019.SZ","002019","亿帆医药","医药生物",,,,"缺失","False",,,,,,"missing"
"002020.SZ","002020","京新药业","医药生物",,,,"缺失","False",,,,,,"missing"
"002023.SZ","002023","海特高新","国防军工",,,,"缺失","False",,,,,,"missing"
"002036.SZ","002036","联创电子","电子",,,,"缺失","False",,,,,,"missing"
"002041.SZ","002041","登海种业","农林牧渔",,,,"缺失","False",,,,,,"missing"
"002043.SZ","002043","兔宝宝","建筑材料",,,,"缺失","False",,,,,,"missing"
"002045.SZ","002045","国光电器","电子",,,,"缺失","False",,,,,,"missing"
"002046.SZ","002046","国机精工","机械设备",,,,"缺失","False",,,,,,"missing"
"002048.SZ","002048","宁波华翔","汽车",,,,"缺失","False",,,,,,"missing"
"002051.SZ","002051","中工国际","建筑装饰",,,,"缺失","False",,,,,,"missing"
"002053.SZ","002053","云南能投","公用事业",,,,"缺失","False",,,,,,"missing"
"002060.SZ","002060","广东建工","公用事业",,,,"缺失","False",,,,,,"missing"
"002061.SZ","002061","浙江交科","建筑装饰",,,,"缺失","False",,,,,,"missing"
"002063.SZ","002063","远光软件","计算机",,,,"缺失","False",,,,,,"missing"
"002073.SZ","002073","软控股份","机械设备",,,,"缺失","False",,,,,,"missing"
"002075.SZ","002075","沙钢股份","钢铁",,,,"缺失","False",,,,,,"missing"
"002077.SZ","002077","大港股份","电子",,,,"缺失","False",,,,,,"missing"
"002081.SZ","002081","金螳螂","建筑装饰",,,,"缺失","False",,,,,,"missing"
"002091.SZ","002091","江苏国泰","商贸零售",,,,"缺失","False",,,,,,"missing"
"002093.SZ","002093","国脉科技","社会服务",,,,"缺失","False",,,,,,"missing"
"002096.SZ","002096","易普力","基础化工",,,,"缺失","False",,,,,,"missing"
"002097.SZ","002097","山河智能","机械设备",,,,"缺失","False",,,,,,"missing"
"002099.SZ","002099","海翔药业","医药生物",,,,"缺失","False",,,,,,"missing"
"002100.SZ","002100","天康生物","农林牧渔",,,,"缺失","False",,,,,,"missing"
"002101.SZ","002101","广东鸿图","汽车",,,,"缺失","False",,,,,,"missing"
"002104.SZ","002104","恒宝股份","通信",,,,"缺失","False",,,,,,"missing"
"002110.SZ","002110","三钢闽光","钢铁",,,,"缺失","False",,,,,,"missing"
"002121.SZ","002121","科陆电子","电力设备",,,,"缺失","False",,,,,,"missing"
"002123.SZ","002123","梦网科技","通信",,,,"缺失","False",,,,,,"missing"
"002125.SZ","002125","湘潭电化","电力设备",,,,"缺失","False",,,,,,"missing"
"002127.SZ","002127","南极电商","商贸零售",,,,"缺失","False",,,,,,"missing"
"002139.SZ","002139","拓邦股份","电子",,,,"缺失","False",,,,,,"missing"
"002145.SZ","002145","钛能化学","基础化工",,,,"缺失","False",,,,,,"missing"
"002149.SZ","002149","西部材料","有色金属",,,,"缺失","False",,,,,,"missing"
"002151.SZ","002151","北斗星通","国防军工","1",,,"高","True",,,,,"8","ok"
"002158.SZ","002158","汉钟精机","机械设备",,,,"缺失","False",,,,,,"missing"
"002163.SZ","002163","海南发展","建筑装饰",,,,"缺失","False",,,,,,"missing"
"002170.SZ","002170","芭田股份","基础化工",,,,"缺失","False",,,,,,"missing"
"002171.SZ","002171","楚江新材","有色金属",,,,"缺失","False",,,,,,"missing"
"002174.SZ","002174","游族网络","传媒",,,,"缺失","False",,,,,,"missing"
"002176.SZ","002176","江特电机","电力设备",,,,"缺失","False",,,,,,"missing"
"002181.SZ","002181","粤传媒","传媒",,,,"缺失","False",,,,,,"missing"
"002182.SZ","002182","宝武镁业","有色金属",,,,"缺失","False",,,,,,"missing"
"002183.SZ","002183","怡亚通","商贸零售",,,,"缺失","False",,,,,,"missing"
"002192.SZ","002192","融捷股份","有色金属","1",,,"高","True",,,,"32",,"ok"
"002194.SZ","002194","武汉凡谷","通信",,,,"缺失","False",,,,,,"missing"
"002204.SZ","002204","大连重工","机械设备",,,,"缺失","False",,,,,,"missing"
"002212.SZ","002212","天融信","计算机",,,,"缺失","False",,,,,,"missing"
"002215.SZ","002215","诺普信","农林牧渔",,,,"缺失","False",,,,,,"missing"
"002216.SZ","002216","三全食品","食品饮料",,,,"缺失","False",,,,,,"missing"
"002221.SZ","002221","东华能源","石油石化",,,,"缺失","False",,,,,,"missing"
"002222.SZ","002222","福晶科技","电子",,,,"缺失","False",,,,,,"missing"
"002226.SZ","002226","江南化工","基础化工",,,,"缺失","False",,,,,,"missing"
"002233.SZ","002233","塔牌集团","建筑材料",,,,"缺失","False",,,,,,"missing"
"002237.SZ","002237","恒邦股份","有色金属",,,,"缺失","False",,,,,,"missing"
"002239.SZ","002239","奥特佳","汽车",,,,"缺失","False",,,,,,"missing"
"002243.SZ","002243","力合科创","社会服务",,,,"缺失","False",,,,,,"missing"
"002245.SZ","002245","蔚蓝锂芯","电力设备",,,,"缺失","False",,,,,,"missing"
"002246.SZ","002246","北化股份","基础化工",,,,"缺失","False",,,,,,"missing"
"002249.SZ","002249","大洋电机","电力设备",,,,"缺失","False",,,,,,"missing"
"002250.SZ","002250","联化科技","基础化工",,,,"缺失","False",,,,,,"missing"
"002251.SZ","002251","步步高","商贸零售",,,,"缺失","False",,,,,,"missing"
"002254.SZ","002254","泰和新材","基础化工",,,,"缺失","False",,,,,,"missing"
"002258.SZ","002258","利尔化学","基础化工",,,,"缺失","False",,,,,,"missing"
"002267.SZ","002267","陕天然气","公用事业",,,,"缺失","False",,,,,,"missing"
"002268.SZ","002268","电科网安","计算机",,,,"缺失","False",,,,,,"missing"
"002270.SZ","002270","华明装备","电力设备",,,,"缺失","False",,,,,,"missing"
"002276.SZ","002276","万马股份","电力设备",,,,"缺失","False",,,,,,"missing"
"002287.SZ","002287","奇正藏药","医药生物",,,,"缺失","False",,,,,,"missing"
"002290.SZ","002290","禾盛新材","家用电器",,,,"缺失","False",,,,,,"missing"
"002292.SZ","002292","奥飞娱乐","传媒",,,,"缺失","False",,,,,,"missing"
"002315.SZ","002315","焦点科技","商贸零售","0",,,"低","False",,"869",,,,"ok"
"002317.SZ","002317","众生药业","医药生物","1",,,"高","True","18",,,,,"ok"
"002320.SZ","002320","海峡股份","交通运输",,,,"缺失","False",,,,,,"missing"
"002324.SZ","002324","普利特","基础化工",,,,"缺失","False",,,,,,"missing"
"002326.SZ","002326","永太科技","基础化工",,,,"缺失","False",,,,,,"missing"
"002332.SZ","002332","仙琚制药","医药生物",,,,"缺失","False",,,,,,"missing"
"002338.SZ","002338","奥普光电","国防军工",,,,"缺失","False",,,,,,"missing"
"002345.SZ","002345","潮宏基","纺织服饰",,,,"缺失","False",,,,,,"missing"
"002351.SZ","002351","漫步者","电子",,,,"缺失","False",,,,,,"missing"
"002354.SZ","002354","天娱数科","传媒","0",,,"低","False","94",,,,,"ok"
"002364.SZ","002364","中恒电气","电力设备",,,,"缺失","False",,,,,,"missing"
"002368.SZ","002368","太极股份","计算机",,,,"缺失","False",,,,,,"missing"
"002372.SZ","002372","伟星新材","建筑材料",,,,"缺失","False",,,,,,"missing"
"002373.SZ","002373","千方科技","计算机",,,,"缺失","False",,,,,,"missing"
"002378.SZ","002378","章源钨业","有色金属",,,,"缺失","False",,,,,,"missing"
"002389.SZ","002389","航天彩虹","国防军工",,,,"缺失","False",,,,,,"missing"
"002396.SZ","002396","星网锐捷","通信","0",,,"低","False",,,"62","78",,"ok"
"002400.SZ","002400","省广集团","传媒",,,,"缺失","False",,,,,,"missing"
"002405.SZ","002405","四维图新","计算机",,,,"缺失","False",,,,,,"missing"
"002408.SZ","002408","齐翔腾达","石油石化",,,,"缺失","False",,,,,,"missing"
"002416.SZ","002416","爱施德","商贸零售",,,,"缺失","False",,,,,,"missing"
"002428.SZ","002428","云南锗业","有色金属",,,,"缺失","False",,,,,,"missing"
"002434.SZ","002434","万里扬","汽车",,,,"缺失","False",,,,,,"missing"
"002456.SZ","002456","欧菲光","电子",,,,"缺失","False",,,,,,"missing"
"002458.SZ","002458","益生股份","农林牧渔",,,,"缺失","False",,,,,,"missing"
"002468.SZ","002468","申通快递","交通运输",,,,"缺失","False",,,,,,"missing"
"002484.SZ","002484","江海股份","电子",,,,"缺失","False",,,,,,"missing"
"002488.SZ","002488","金固股份","汽车",,,,"缺失","False",,,,,,"missing"
"002497.SZ","002497","雅化集团","基础化工","0",,,"低","False",,,,"96",,"ok"
"002498.SZ","002498","汉缆股份","电力设备",,,,"缺失","False",,,,,,"missing"
"002506.SZ","002506","协鑫集成","电力设备",,,,"缺失","False",,,,,,"missing"
"002507.SZ","002507","涪陵榨菜","食品饮料",,,,"缺失","False",,,,,,"missing"
"002511.SZ","002511","中顺洁柔","美容护理",,,,"缺失","False",,,,,,"missing"
"002516.SZ","002516","旷达科技","汽车",,,,"缺失","False",,,,,,"missing"
"002518.SZ","002518","科士达","电力设备",,,,"缺失","False",,,,,,"missing"
"002531.SZ","002531","天顺风能","电力设备",,,,"缺失","False",,,,,,"missing"
"002534.SZ","002534","西子洁能","电力设备",,,,"缺失","False",,,,,,"missing"
"002536.SZ","002536","飞龙股份","汽车",,,,"缺失","False",,,,,,"missing"
"002537.SZ","002537","海联金汇","汽车",,,,"缺失","False",,,,,,"missing"
"002539.SZ","002539","云图控股","基础化工",,,,"缺失","False",,,,,,"missing"
"002541.SZ","002541","鸿路钢构","建筑装饰",,,,"缺失","False",,,,,,"missing"
"002544.SZ","002544","普天科技","通信",,,,"缺失","False",,,,,,"missing"
"002545.SZ","002545","东方铁塔","基础化工",,,,"缺失","False",,,,,,"missing"
"002549.SZ","002549","凯美特气","基础化工",,,,"缺失","False",,,,,,"missing"
"002550.SZ","002550","千红制药","医药生物",,,,"缺失","False",,,,,,"missing"
"002557.SZ","002557","洽洽食品","食品饮料",,,,"缺失","False",,,,,,"missing"
"002563.SZ","002563","森马服饰","纺织服饰",,,,"缺失","False",,,,,,"missing"
"002572.SZ","002572","索菲亚","轻工制造",,,,"缺失","False",,,,,,"missing"
"002588.SZ","002588","史丹利","基础化工",,,,"缺失","False",,,,,,"missing"
"002597.SZ","002597","金禾实业","基础化工",,,,"缺失","False",,,,,,"missing"
"002605.SZ","002605","姚记科技","传媒",,,,"缺失","False",,,,,,"missing"
"002611.SZ","002611","东方精工","机械设备",,,,"缺失","False",,,,,,"missing"
"002617.SZ","002617","露笑科技","公用事业",,,,"缺失","False",,,,,,"missing"
"002626.SZ","002626","金达威","食品饮料",,,,"缺失","False",,,,,,"missing"
"002635.SZ","002635","安洁科技","电子",,,,"缺失","False",,,,,,"missing"
"002636.SZ","002636","金安国纪","电子","0",,,"低","False","90",,"75","75",,"ok"
"002639.SZ","002639","雪人集团","机械设备",,,,"缺失","False",,,,,,"missing"
"002643.SZ","002643","万润股份","电子",,,,"缺失","False",,,,,,"missing"
"002651.SZ","002651","利君股份","国防军工",,,,"缺失","False",,,,,,"missing"
"002654.SZ","002654","万润科技","电子",,,,"缺失","False",,,,,,"missing"
"002668.SZ","002668","TCL智家","家用电器",,,,"缺失","False",,,,,,"missing"
"002675.SZ","002675","东诚药业","医药生物",,,,"缺失","False",,,,,,"missing"
"002681.SZ","002681","奋达科技","电子",,,,"缺失","False",,,,,,"missing"
"002690.SZ","002690","美亚光电","机械设备","0",,,"低","False",,"1763",,,,"ok"
"002698.SZ","002698","博实股份","机械设备",,,,"缺失","False",,,,,,"missing"
"002701.SZ","002701","奥瑞金","轻工制造",,,,"缺失","False",,,,,,"missing"
"002705.SZ","002705","新宝股份","家用电器",,,,"缺失","False",,,,,,"missing"
"002706.SZ","002706","良信股份","电力设备",,,,"缺失","False",,,,,,"missing"
"002716.SZ","002716","湖南白银","有色金属",,,,"缺失","False",,,,,,"missing"
"002727.SZ","002727","一心堂","医药生物",,,,"缺失","False",,,,,,"missing"
