"iteration","snapshot_time","request_start","request_end","market_status","is_valid_snapshot","matched_components","field_coverage","changed_symbol_ratio","regression_ratio","snapshot_csv","signals_csv","quality_json"
"1","2026-07-16 13:39:32.150","2026-07-16 13:39:32.150","2026-07-16 13:39:38.668","TRADING","False","1000","1","0","0","C:\ftshare_data\daily_intraday_summary\20260716_133921\snapshot_001.csv","C:\ftshare_data\daily_intraday_summary\20260716_133921\signals_001.csv","C:\ftshare_data\daily_intraday_summary\20260716_133921\quality_001.json"
"2","2026-07-16 13:40:00.038","2026-07-16 13:40:00.038","2026-07-16 13:40:08.923","TRADING","True","1000","1","0.998","0","C:\ftshare_data\daily_intraday_summary\20260716_133921\snapshot_002.csv","C:\ftshare_data\daily_intraday_summary\20260716_133921\signals_002.csv","C:\ftshare_data\daily_intraday_summary\20260716_133921\quality_002.json"
"3","2026-07-16 13:45:00.494","2026-07-16 13:45:00.494","2026-07-16 13:45:07.191","TRADING","True","1000","1","1","0","C:\ftshare_data\daily_intraday_summary\20260716_133921\snapshot_003.csv","C:\ftshare_data\daily_intraday_summary\20260716_133921\signals_003.csv","C:\ftshare_data\daily_intraday_summary\20260716_133921\quality_003.json"
"4","2026-07-16 13:50:00.980","2026-07-16 13:50:00.980","2026-07-16 13:50:42.346","TRADING","True","1000","1","1","0","C:\ftshare_data\daily_intraday_summary\20260716_133921\snapshot_004.csv","C:\ftshare_data\daily_intraday_summary\20260716_133921\signals_004.csv","C:\ftshare_data\daily_intraday_summary\20260716_133921\quality_004.json"
"5","2026-07-16 13:55:00.900","2026-07-16 13:55:00.900","2026-07-16 13:55:55.148","TRADING","True","1000","1","1","0","C:\ftshare_data\daily_intraday_summary\20260716_133921\snapshot_005.csv","C:\ftshare_data\daily_intraday_summary\20260716_133921\signals_005.csv","C:\ftshare_data\daily_intraday_summary\20260716_133921\quality_005.json"
"6","2026-07-16 14:00:00.798","2026-07-16 14:00:00.798","2026-07-16 14:00:06.612","TRADING","True","1000","1","1","0","C:\ftshare_data\daily_intraday_summary\20260716_133921\snapshot_006.csv","C:\ftshare_data\daily_intraday_summary\20260716_133921\signals_006.csv","C:\ftshare_data\daily_intraday_summary\20260716_133921\quality_006.json"
"7","2026-07-16 14:05:00.312","2026-07-16 14:05:00.312","2026-07-16 14:05:13.096","TRADING","True","1000","1","1","0","C:\ftshare_data\daily_intraday_summary\20260716_133921\snapshot_007.csv","C:\ftshare_data\daily_intraday_summary\20260716_133921\signals_007.csv","C:\ftshare_data\daily_intraday_summary\20260716_133921\quality_007.json"
"8","2026-07-16 14:10:00.262","2026-07-16 14:10:00.262","2026-07-16 14:10:57.457","TRADING","True","1000","1","1","0","C:\ftshare_data\daily_intraday_summary\20260716_133921\snapshot_008.csv","C:\ftshare_data\daily_intraday_summary\20260716_133921\signals_008.csv","C:\ftshare_data\daily_intraday_summary\20260716_133921\quality_008.json"
"9","2026-07-16 14:15:00.663","2026-07-16 14:15:00.663","2026-07-16 14:15:42.036","TRADING","True","1000","1","1","0","C:\ftshare_data\daily_intraday_summary\20260716_133921\snapshot_009.csv","C:\ftshare_data\daily_intraday_summary\20260716_133921\signals_009.csv","C:\ftshare_data\daily_intraday_summary\20260716_133921\quality_009.json"
"10","2026-07-16 14:20:00.768","2026-07-16 14:20:00.768","2026-07-16 14:20:11.288","TRADING","True","1000","1","1","0","C:\ftshare_data\daily_intraday_summary\20260716_133921\snapshot_010.csv","C:\ftshare_data\daily_intraday_summary\20260716_133921\signals_010.csv","C:\ftshare_data\daily_intraday_summary\20260716_133921\quality_010.json"
"11","2026-07-16 14:25:00.911","2026-07-16 14:25:00.911","2026-07-16 14:25:07.007","TRADING","True","1000","1","1","0","C:\ftshare_data\daily_intraday_summary\20260716_133921\snapshot_011.csv","C:\ftshare_data\daily_intraday_summary\20260716_133921\signals_011.csv","C:\ftshare_data\daily_intraday_summary\20260716_133921\quality_011.json"
"12","2026-07-16 14:30:00.283","2026-07-16 14:30:00.283","2026-07-16 14:32:54.374","TRADING","True","1000","1","1","0","C:\ftshare_data\daily_intraday_summary\20260716_133921\snapshot_012.csv","C:\ftshare_data\daily_intraday_summary\20260716_133921\signals_012.csv","C:\ftshare_data\daily_intraday_summary\20260716_133921\quality_012.json"
"13","2026-07-16 14:35:00.563","2026-07-16 14:35:00.563","2026-07-16 14:37:14.380","TRADING","True","1000","1","1","0","C:\ftshare_data\daily_intraday_summary\20260716_133921\snapshot_013.csv","C:\ftshare_data\daily_intraday_summary\20260716_133921\signals_013.csv","C:\ftshare_data\daily_intraday_summary\20260716_133921\quality_013.json"
"14","2026-07-16 14:40:00.420","2026-07-16 14:40:00.420","2026-07-16 14:41:52.417","TRADING","True","1000","1","1","0","C:\ftshare_data\daily_intraday_summary\20260716_133921\snapshot_014.csv","C:\ftshare_data\daily_intraday_summary\20260716_133921\signals_014.csv","C:\ftshare_data\daily_intraday_summary\20260716_133921\quality_014.json"
"15","2026-07-16 14:45:00.448","2026-07-16 14:45:00.448","2026-07-16 14:46:53.985","TRADING","True","1000","1","1","0","C:\ftshare_data\daily_intraday_summary\20260716_133921\snapshot_015.csv","C:\ftshare_data\daily_intraday_summary\20260716_133921\signals_015.csv","C:\ftshare_data\daily_intraday_summary\20260716_133921\quality_015.json"
"16","2026-07-16 14:50:00.244","2026-07-16 14:50:00.244","2026-07-16 14:51:21.172","TRADING","True","1000","1","1","0","C:\ftshare_data\daily_intraday_summary\20260716_133921\snapshot_016.csv","C:\ftshare_data\daily_intraday_summary\20260716_133921\signals_016.csv","C:\ftshare_data\daily_intraday_summary\20260716_133921\quality_016.json"
"17","2026-07-16 14:55:00.655","2026-07-16 14:55:00.655","2026-07-16 14:55:09.520","TRADING","True","1000","1","1","0","C:\ftshare_data\daily_intraday_summary\20260716_133921\snapshot_017.csv","C:\ftshare_data\daily_intraday_summary\20260716_133921\signals_017.csv","C:\ftshare_data\daily_intraday_summary\20260716_133921\quality_017.json"
"18","2026-07-16 15:00:00.255","2026-07-16 15:00:00.255","2026-07-16 15:00:47.267","TRADING","True","1000","1","1","0","C:\ftshare_data\daily_intraday_summary\20260716_133921\snapshot_018.csv","C:\ftshare_data\daily_intraday_summary\20260716_133921\signals_018.csv","C:\ftshare_data\daily_intraday_summary\20260716_133921\quality_018.json"
